sensorcount,timestamp,hr
1.64604359854e+12,2022-02-28 11:19:58.539000,68
1.64604359879e+12,2022-02-28 11:19:58.785000,68
1.64604359903e+12,2022-02-28 11:19:59.031000,68
1.64604359928e+12,2022-02-28 11:19:59.278000,68
1.64604359953e+12,2022-02-28 11:19:59.524000,68
1.64604359977e+12,2022-02-28 11:19:59.770000,68
1.64604360002e+12,2022-02-28 11:20:00.017000,68
1.64604360026e+12,2022-02-28 11:20:00.263000,67
1.64604360051e+12,2022-02-28 11:20:00.510000,67
1.64604360076e+12,2022-02-28 11:20:00.755000,67
1.646043601e+12,2022-02-28 11:20:01.001000,67
1.64604360125e+12,2022-02-28 11:20:01.248000,67
1.64604360149e+12,2022-02-28 11:20:01.494000,67
1.64604360174e+12,2022-02-28 11:20:01.741000,67
1.64604360199e+12,2022-02-28 11:20:01.987000,69
1.64604360223e+12,2022-02-28 11:20:02.233000,69
1.64604360248e+12,2022-02-28 11:20:02.480000,69
1.64604360273e+12,2022-02-28 11:20:02.726000,70
1.64604360297e+12,2022-02-28 11:20:02.972000,70
1.64604360322e+12,2022-02-28 11:20:03.218000,70
1.64604360346e+12,2022-02-28 11:20:03.464000,70
1.64604360371e+12,2022-02-28 11:20:03.710000,69
1.64604360396e+12,2022-02-28 11:20:03.957000,69
1.6460436042e+12,2022-02-28 11:20:04.203000,69
1.64604360445e+12,2022-02-28 11:20:04.449000,69
1.6460436047e+12,2022-02-28 11:20:04.696000,69
1.64604360494e+12,2022-02-28 11:20:04.942000,69
1.64604360519e+12,2022-02-28 11:20:05.188000,69
1.64604360544e+12,2022-02-28 11:20:05.435000,68
1.64604360568e+12,2022-02-28 11:20:05.681000,68
1.64604360593e+12,2022-02-28 11:20:05.927000,68
1.64604360617e+12,2022-02-28 11:20:06.173000,68
1.64604360642e+12,2022-02-28 11:20:06.419000,66
1.64604360667e+12,2022-02-28 11:20:06.666000,66
1.64604360691e+12,2022-02-28 11:20:06.912000,66
1.64604360716e+12,2022-02-28 11:20:07.158000,66
1.64604360741e+12,2022-02-28 11:20:07.405000,65
1.64604360765e+12,2022-02-28 11:20:07.651000,65
1.6460436079e+12,2022-02-28 11:20:07.897000,65
1.64604360814e+12,2022-02-28 11:20:08.144000,68
1.64604360839e+12,2022-02-28 11:20:08.390000,68
1.64604360864e+12,2022-02-28 11:20:08.637000,68
1.64604360888e+12,2022-02-28 11:20:08.883000,71
1.64604360913e+12,2022-02-28 11:20:09.128000,71
1.64604360938e+12,2022-02-28 11:20:09.375000,71
1.64604360962e+12,2022-02-28 11:20:09.621000,75
1.64604360987e+12,2022-02-28 11:20:09.867000,75
1.64604361036e+12,2022-02-28 11:20:10.360000,77
1.64604361061e+12,2022-02-28 11:20:10.606000,77
1.64604361085e+12,2022-02-28 11:20:10.853000,77
1.6460436111e+12,2022-02-28 11:20:11.099000,79
1.64604361135e+12,2022-02-28 11:20:11.345000,79
1.64604361159e+12,2022-02-28 11:20:11.592000,79
1.64604361208e+12,2022-02-28 11:20:12.084000,82
1.64604361233e+12,2022-02-28 11:20:12.330000,84
1.64604361258e+12,2022-02-28 11:20:12.577000,84
1.64604361282e+12,2022-02-28 11:20:12.823000,84
1.64604361307e+12,2022-02-28 11:20:13.068000,87
1.64604361332e+12,2022-02-28 11:20:13.315000,87
1.64604361356e+12,2022-02-28 11:20:13.561000,87
1.64604361381e+12,2022-02-28 11:20:13.808000,89
1.64604361479e+12,2022-02-28 11:20:14.793000,92
1.64604361504e+12,2022-02-28 11:20:15.039000,93
1.64604361529e+12,2022-02-28 11:20:15.286000,93
1.64604361553e+12,2022-02-28 11:20:15.531000,96
1.64604361578e+12,2022-02-28 11:20:15.777000,96
1.64604361602e+12,2022-02-28 11:20:16.024000,98
1.64604361627e+12,2022-02-28 11:20:16.270000,98
1.64604361652e+12,2022-02-28 11:20:16.517000,100
1.64604361676e+12,2022-02-28 11:20:16.763000,100
1.64604361701e+12,2022-02-28 11:20:17.009000,100
1.64604361726e+12,2022-02-28 11:20:17.256000,101
1.6460436175e+12,2022-02-28 11:20:17.502000,101
1.64604361775e+12,2022-02-28 11:20:17.748000,101
1.64604361799e+12,2022-02-28 11:20:17.994000,101
1.64604361824e+12,2022-02-28 11:20:18.240000,101
1.64604361849e+12,2022-02-28 11:20:18.487000,102
1.64604361873e+12,2022-02-28 11:20:18.733000,102
1.64604361898e+12,2022-02-28 11:20:18.979000,103
1.64604361923e+12,2022-02-28 11:20:19.226000,103
1.64604361947e+12,2022-02-28 11:20:19.472000,103
1.64604361972e+12,2022-02-28 11:20:19.718000,103
1.64604361997e+12,2022-02-28 11:20:19.965000,104
1.64604362021e+12,2022-02-28 11:20:20.211000,104
1.64604362046e+12,2022-02-28 11:20:20.457000,104
1.6460436207e+12,2022-02-28 11:20:20.704000,106
1.64604362095e+12,2022-02-28 11:20:20.950000,106
1.6460436212e+12,2022-02-28 11:20:21.196000,107
1.64604362144e+12,2022-02-28 11:20:21.442000,107
1.64604362169e+12,2022-02-28 11:20:21.688000,108
1.64604362194e+12,2022-02-28 11:20:21.934000,108
1.64604362218e+12,2022-02-28 11:20:22.181000,110
1.64604362243e+12,2022-02-28 11:20:22.427000,110
1.64604362267e+12,2022-02-28 11:20:22.673000,112
1.64604362292e+12,2022-02-28 11:20:22.920000,112
1.64604362317e+12,2022-02-28 11:20:23.166000,114
1.64604362341e+12,2022-02-28 11:20:23.412000,114
1.64604362366e+12,2022-02-28 11:20:23.658000,116
1.64604362391e+12,2022-02-28 11:20:23.904000,116
1.64604362415e+12,2022-02-28 11:20:24.151000,116
1.6460436244e+12,2022-02-28 11:20:24.397000,116
1.64604362464e+12,2022-02-28 11:20:24.644000,116
1.64604362489e+12,2022-02-28 11:20:24.890000,115
1.64604362514e+12,2022-02-28 11:20:25.136000,115
1.64604362538e+12,2022-02-28 11:20:25.383000,113
1.64604362563e+12,2022-02-28 11:20:25.629000,113
1.64604362588e+12,2022-02-28 11:20:25.875000,113
1.64604362612e+12,2022-02-28 11:20:26.122000,113
1.64604362637e+12,2022-02-28 11:20:26.368000,113
1.64604362662e+12,2022-02-28 11:20:26.614000,113
1.64604362686e+12,2022-02-28 11:20:26.860000,113
1.64604362711e+12,2022-02-28 11:20:27.106000,113
